cpv_code,name,description
44100000,Građevinski materijali i pripadajući proizvodi,Construction materials and associated items
50421000,Usluge popravke i održavanja medicinske opreme,Repair and maintenance services of medical equipment
33793000,Proizvodi od stakla za laboratorijske namene,Laboratory glassware
24310000,Osnovne neorganske hemikalije,Basic inorganic chemicals
63516000,Usluge organizacije putovanja,Travel management services
45454000,Radovi na rekonstrukciji,Restructuring work
50720000,Usluge popravke i održavanja centralnog grejanja,Repair and maintenance services of central heating
55520000,Usluge dostavljanja pripremljenih  obroka,Catering services
60120000,Taksi usluge,Taxi services
30213100,Prenosivi računari,Portable computers
66512210,Usluge dobrovoljnog zdravstvenog osiguranja,Voluntary health insurance services
50531300,Usluge popravke i održavanja kompresora,Repair and maintenance services of compressors
39800000,Proizvodi za čišćenje i poliranje,Cleaning and polishing products
45260000,Radovi na krovu i drugi posebni građevinski zanatski radovi,Roof works and other special trade construction works
32510000,Sistemi za bežičnu telekomunikaciju,Wireless telecommunications system
42124000,"Delovi pumpi, kompresora, mašina ili motora","Parts of pumps, compressors, engines or motors"
22462000,Reklamni materijal,Advertising material
09310000,Električna energija,Electricity
50730000,Usluge popravke i održavanja rashladnih grupa,Repair and maintenance services of cooler groups
43830000,Električni alati,Power tools
03221270,Krastavac,Cucumbers
44617000,Kutije,Boxes
50000000,Usluge održavanja i popravki,Repair and maintenance services
50116000,Usluge popravke i održavanja za određene delove vozila,Maintenance and repair services related to specific parts of vehicles
71242000,"Izrada projekata i nacrta, procena troškova","Project and design preparation, estimation of costs"
45111230,Radovi na stabilizaciji terena,Ground-stabilisation work
30192000,Kancelarijski materijal,Office supplies
50324100,Usluge održavanja sistema,System maintenance services
37442300,Sprave za vežbe donjeg i gornjeg dela torza,Lower and upper body resistance machines
50800000,Razne usluge popravke i održavanja,Miscellaneous repair and maintenance services
45432130,Postavljanje podnih obloga,Floor-covering work
30125110,Toner za laserske štampače i telefaks mašine,Toner for laser printers/fax machines
24311900,Hlor,Chlorine
50411000,Usluge popravke i održavanja mernih aparata,Repair and maintenance services of measuring apparatus
50114000,Usluge popravke i održavanja teretnih vozila,Repair and maintenance services of trucks
50100000,"Usluge popravki, održavanja i srodne usluge za vozila i pripadajuću opremu","Repair, maintenance and associated services of vehicles and related equipment"
50223000,Usluge remonta lokomotiva,Reconditioning services of locomotives
09000000,"Naftni derivati, gorivo, električna energija i drugi izvori energije","Petroleum products, fuel, electricity and other sources of energy"
50532000,"Usluge popravke i održavanja električnih uređaja, aparata i pripadajuće opreme","Repair and maintenance services of electrical machinery, apparatus and associated equipment"
79340000,Usluge oglašavanja i marketinga,Advertising and marketing services
64221000,Usluge mrežnog povezivanja,Interconnection services
09100000,Goriva,Fuels
15000000,"Hrana, piće, duvan i srodni proizvodi","Food, beverages, tobacco and related products"
60170000,Najam vozila za prevoz putnika sa vozačem,Hire of passenger transport vehicles with driver
72267000,Usluge održavanja i popravke softvera,Software maintenance and repair services
03451100,Sadnice,Bedding plants
44316400,Metalni proizvodi,Hardware
45000000,Građevinski radovi,Construction work
64211000,Usluge javne telefonije,Public-telephone services
63515000,Usluge putovanja,Travel services
09111400,Goriva na bazi drveta,Wood fuels
34330000,"Rezervni delovi za teretna vozila, dostavna vozila i automobile","Spare parts for goods vehicles, vans and cars"
60100000,Usluge drumskog prevoza,Road transport services
18100000,"Radna odeća, specijalna radna odeća i prateća oprema","Occupational clothing, special workwear and accessories"
79810000,Usluge štampanja,Printing services
71250000,"Arhitektonske, tehničke i geodetske usluge","Architectural, engineering and surveying services"
33600000,Farmaceutski proizvodi,Pharmaceutical products
33100000,Medicinska oprema,Medical equipments
44160000,"Cevovodi, cevni sistemi, cevi, omotači cevi i srodni artikli","Pipeline, piping, pipes, casing, tubing and related items"
60172000,Najam autobusa i međugradskih autobusa sa vozačem,Hire of buses and coaches with driver
33680000,Farmaceutski proizvodi,Pharmaceutical articles
03413000,Drvo za ogrev,Fuel wood
34320000,"Mehanički rezervni delovi, osim motora i delova motora",Mechanical spare parts except engines and engine parts
24951311,Preparati protiv zamrzavanja,Anti-freezing preparations
42651000,Pneumatski ručni alati,Pneumatic hand tools
33126000,Stomatološki uređaji,Stomatology devices
30231000,Kompjuterski ekrani i konzole,Computer screens and consoles
24962000,Hemikalije za obradu vode,Water-treatment chemicals
45246200,Radovi na zaštiti obale reke,Riverbank protection works
34928530,Ulične svetiljke,Street lamps
31400000,"Akumulatori, primarne ćelije i primarne baterije","Accumulators, primary cells and primary batteries"
66114000,Usluge finansijskog lizinga,Financial leasing services
09300000,"Električna energija, energija za grejanje, solarna i nuklearna energija","Electricity, heating, solar and nuclear energy"
31200000,Aparati za kontrolu i distribuciju električne energije,Electricity distribution and control apparatus
85000000,Zdravstvene i socijalne usluge,Health and social work services
39300000,Razna oprema,Miscellaneous equipment
85100000,Zdravstvene usluge,Health services
33140000,Medicinski potrošni materijal,Medical consumables
45233252,Radovi na površinskom sloju ulica,Surface work for streets
77211000,Usluge povezane sa sečom šuma,Services incidental to logging
66510000,Usluge osiguranja,Insurance services
39370000,Vodovodna instalacija,Water installations
03114000,Slama i stočna hrana (krmivo),Straw and forage
79950000,"Usluge organizovanja izložbi, sajmova i kongresa","Exhibition, fair and congress organisation services"
33196000,Medicinska pomagala,Medical aids
34913000,Razni rezervni delovi,Miscellaneous spare parts
38000000,"Laboratorijska, optička i precizna oprema (osim naočara)","Laboratory, optical and precision equipments (excl. glasses)"
60130000,Usluge drumskog putničkog prevoza za posebne namene,Special-purpose road passenger-transport services
31121000,Generatorski agregati,Generating sets
35111000,Vatrogasna oprema,Firefighting equipment
39830000,Proizvodi za čišćenje,Cleaning products
71322500,Usluge tehničkog projektovanja saobraćajnih uređaja,Engineering-design services for traffic installations
76431500,Usluge nadzora bušenja,Well-drilling supervision services
79714000,Usluge nadzora,Surveillance services
60400000,Usluge avio-prevoza,Air transport services
50310000,Održavanje i popravka kancelarijskih uređaja,Maintenance and repair of office machinery
16100000,Mašine za pripremanje i kultivisanje zemlje u poljoprivredi i šumarstvu,Agricultural and forestry machinery for soil preparation or cultivation
79416000,Usluge u oblasti odnosa sa javnošću,Public relations services
98392000,Usluge preseljenja,Relocation services
14800000,Razni nemetalni mineralni proizvodi,Miscellaneous non-metallic mineral products
09130000,Nafta i destilati,Petroleum and distillates
45262500,Zidarski radovi,Masonry and bricklaying work
90711100,"Procena rizika ili opasnosti, osim u građevinarstvu",Risk or hazard assessment other than for construction
90733400,Usluge čišćenja površinskih voda,Surface water treatment services
50341000,Usluge popravke i održavanja televizijske opreme,Repair and maintenance services of television equipment
09132000,Benzin,Petrol
71240000,"Arhitektonske, inženjerske usluge i usluge planiranja","Architectural, engineering and planning services"
03211200,Kukuruz,Maize
09135100,Lož ulje,Heating oil
85310000,Usluge socijalne zaštite,Social work services
33696000,Reagensi i kontrasti,Reagents and contrast media
45400000,Završni građevinski radovi,Building completion work
32323500,Sistem za video nadzor,Video-surveillance system
33183200,Ortopedske proteze,Orthopaedic prostheses
71320000,Usluge tehničkog projektovanja,Engineering design services
71900000,Laboratorijske usluge,Laboratory services
39162110,Nastavni materijal,Teaching supplies
34928480,Kontejneri i kante za otpad i smeće,Waste and rubbish containers and bins
45200000,Radovi na objektima ili delovima objekata visokogradnje i niskogradnje,Works for complete or part construction and civil engineering work
71000000,"Arhitektonske, građevinske, inženjerske i inspekcijske usluge","Architectural, construction, engineering and inspection services"
15800000,Razni prehrambeni proizvodi,Miscellaneous food products
92360000,Pirotehničke usluge,Pyrotechnic services
45246400,Radovi na zaštiti od poplava,Flood-prevention works
39500000,Tekstilni proizvodi,Textile articles
39200000,Proizvodi za unutrašnje opremanje,Furnishing
34110000,Putnički automobili,Passenger cars
31330000,Koaksijalni kablovi,Coaxial cable
50500000,"Usluge popravke i održavanja pumpi, ventila, slavina i metalnih kontejnera i uređaja","Repair and maintenance services for pumps, valves, taps and metal containers and machinery"
30236000,Razna računarska oprema,Miscellaneous computer equipment
39130000,Kancelarijski nameštaj,Office furniture
44190000,Razni građevinski materijali,Miscellaneous construction materials
45343100,Radovi na protivpožarnoj zaštiti,Fireproofing work
39515100,Zavese,Curtains
98390000,Ostale usluge,Other services
14210000,"Šljunak, pesak, drobljeni kamen i agregati","Gravel, sand, crushed stone and aggregates"
50110000,Usluge popravki i održavanja motornih vozila i pripadajuće opreme,Repair and maintenance services of motor vehicles and associated equipment
72222100,Usluge strateške revizije informacionih sistema ili tehnologija,Information systems or technology strategic review services
31700000,"Elektronski, elektromehanički i elektrotehnički materijal","Electronic, electromechanical and electrotechnical supplies"
50343000,Usluge popravke i održavanja video opreme,Repair and maintenance services of video equipment
45500000,Iznajmljivanje mehanizacije i opreme za visokogradnju i niskogradnju sa operaterom,Hire of construction and civil engineering machinery and equipment with operator
50413000,Usluge popravke i održavanja kontrolnih aparata,Repair and maintenance services of checking apparatus
71353100,Usluge hidrografskog ispitivanja,Hydrographic surveying services
09200000,"Proizvodi od nafte, uglja i ulja","Petroleum, coal and oil products"
50330000,Usluge održavanja telekomunikacione opreme,Maintenance services of telecommunications equipment
39811200,Prečišćivači vazduha,Air sanitisers
48820000,Serveri,Servers
24455000,Sredstva za dezinfekciju,Disinfectants
50112000,Usluge popravke i održavanja automobila,Repair and maintenance services of cars
79931000,Usluge unutrašnjeg opremanja,Interior decorating services
39000000,"Nameštaj (uključujući kancelarijski), unutrašnja oprema, uređaji za domaćinstvo (osim rasvete) i sredstva za čišćenje","Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products"
73430000,Ispitivanje i ocenjivanje,Test and evaluation
37416000,Oprema za slobodne aktivnosti,Leisure equipment
71631200,Usluge tehničkog pregleda vozila,Technical automobile inspection services
43325000,Oprema za parkove i dečja igrališta,Park and playground equipment
55130000,Ostale hotelske usluge,Other hotel services
48311100,Sistem za upravljanje dokumentima,Document management system
50400000,Usluge popravke i održavanja medicinske i precizne opreme,Repair and maintenance services of medical and precision equipment
34114121,Sanitetska vozila,Ambulances
85200000,Veterinarske usluge,Veterinary services
45314310,Polaganje kablova,Installation of cable laying
22900000,Razni štampani materijal,Miscellaneous printed matter
79342200,Usluge promovisanja,Promotional services
50241100,Usluge popravke plovila,Vessel repair services
50750000,Usluge održavanja liftova,Lift-maintenance services
30230000,Računarska oprema,Computer-related equipment
42931100,Laboratorijske centrifuge i pribor,Laboratory centrifuges and accessories
42111100,Vanbrodski pogonski motori za morska plovila,Outboard motors for marine propulsion
50300000,"Usluge popravke, održavanja i srodne usluge za personalne računare, kancelarijsku opremu, telekomunikacije i audiovizuelnu opremu","Repair, maintenance and associated services related to personal computers, office equipment, telecommunications and audio-visual equipment"
64212000,Usluge mobilne telefonije,Mobile-telephone services
63521000,Usluge agencija za prevoz tereta,Freight transport agency services
71247000,Nadzor građevinskih radova,Supervision of building work
50410000,"Usluge popravke i održavanja aparata za merenje, ispitivanje i kontrolu","Repair and maintenance services of measuring, testing and checking apparatus"
45233141,Radovi na održavanju puteva,Road-maintenance works
45316212,Instalacija semafora,Installation of traffic lights
45300000,Radovi na građevinskim instalacijama,Building installation work
45243000,Radovi na zaštiti obale,Coastal-defence works
33184100,Hirurški implanti,Surgical implants
14310000,Minerali za veštačka đubriva,Fertiliser minerals
34632000,Oprema za kontrolu železničkog saobraćaja,Railways traffic-control equipment
39224100,Metle,Brooms
44510000,Alati,Tools
18143000,Zaštitna oprema,Protective gear
71410000,Usluge prostornog planiranja,Urban planning services
42991500,Delovi štamparskih ili knjigovezačkih mašina,Parts of printing or bookbinding machinery
45262220,Bušenje bunara za vodu,Water-well drilling
90620000,Usluge čišćenja snega,Snow-clearing services
63510000,Usluge putničkih agencija i slične usluge,Travel agency and similar services
50700000,Usluge popravke i održavanja instalacija u zgradama,Repair and maintenance services of building installations
44115210,Vodoinstalaterski materijal,Plumbing materials
33191110,Autoklavi,Autoclaves
42522000,"Ventilatori, izuzev za domaćinstvo",Non-domestic fans
42161000,Toplovodni kotlovi,Hot-water boilers
39711361,Električne pećnice,Electric ovens
32522000,Telekomunikaciona oprema,Telecommunications equipment
24313123,Aluminijum sulfat,Sulphate of aluminium
71314000,Usluge u oblasti energetike i srodne usluge,Energy and related services
34130000,Motorna vozila za prevoz robe,Motor vehicles for the transport of goods
90524000,Usluge u vezi sa medicinskim otpadom,Medical waste services
71317210,Savetodavne usluge u oblasti zdravstva i bezbednosti,Health and safety consultancy services
31000000,"Električne mašine, aparati, oprema i potrošni materijal; rasveta","Electrical machinery, apparatus, equipment and consumables; lighting"
77210000,Usluge seče šuma,Logging services
31500000,Rasvetna oprema i električne svetiljke,Lighting equipment and electric lamps
09134200,Dizel gorivo,Diesel fuel
35113400,Zaštitna i sigurnosna odeća,Protective and safety clothing
50332000,Usluge održavanja telekomunikacione infrastrukture,Telecommunications-infrastructure maintenance services
85312120,Dnevne usluge u zajednici za osobe sa invaliditetom i mlade osobe,Daycare services for handicapped children and young people
15612500,Pekarski proizvodi,Bakery products
85111820,Usluge u oblasti bakteriološke analize,Bacteriological analysis services
24900000,Fini i razni hemijski proizvodi,Fine and various chemical products
90524200,Usluge odlaganja medicinskog otpada,Clinical-waste disposal services
34350000,Gume za teška i laka vozila,Tyres for heavy/light-duty vehicles
45332200,Radovi na instalaciji vodovodnih cevi,Water plumbing work
48700000,Podrška programskih paketa,Software package utilities
71356100,Usluge tehničkog nadzora,Technical control services
38400000,Instrumenti za proveru fizičkih svojstava,Instruments for checking physical characteristics
44221200,Vrata,Doors
33692300,Enteralna hrana,Enteral feeds
45231110,Građevinski radovi polaganja cevi,Pipelaying construction work
72267100,Održavanje softvera za informacione tehnologije,Maintenance of information technology software
45233140,Radovi na putevima,Roadworks
90731800,Praćenje koncentracije suspendovanih čestica u vazduhu,Airborne particle monitoring
48761000,Antivirusni programski paket,Anti-virus software package
50313100,Usluge popravke fotokopir aparata,Photocopier repair services
42124290,Delovi centrifugalnih pumpi,Parts of centrifugal pumps
09123000,Prirodni gas,Natural gas
71356200,Usluge tehničke pomoći,Technical assistance services
42913000,"Filteri za ulje, benzin i dovod vazduha","Oil, petrol and air-intake filters"
45311200,Elektro-montažni radovi,Electrical fitting work
33190000,Razni medicinski uređaji i proizvodi,Miscellaneous medical devices and products
72261000,Usluge softverske podrške,Software support services
72200000,Usluge programiranja i savetodavne usluge,Software programming and consultancy services
72000000,"Usluge informacione tehnologije: savetodavne usluge, izrada aplikacija, internet i podrška","IT services: consulting, software development, Internet and support"
80530000,Usluge stručnog osposobljavanja,Vocational training services
34144510,Vozila za odnošenje smeća,Vehicles for refuse
50710000,Usluge popravke i održavanja električnih i mehaničkih instalacija u zgradama,Repair and maintenance services of electrical and mechanical building installations
19520000,Proizvodi od plastičnih masa,Plastic products
09111210,Kameni ugalj,Hard coal
50334110,Usluge održavanja telefonske mreže,Telephone network maintenance services
45232140,Radovi na izgradnji mreže gradskog grejanja,District-heating mains construction work
50433000,Usluge kalibracije (baždarenja),Calibration services
34113300,Terenska vozila,Off-road vehicles
33696500,Laboratorijski reagensi,Laboratory reagents
03114200,Stočna hrana (krmivo),Forage
45453100,Radovi na renoviranju,Refurbishment work
71241000,"Studije izvodljivosti, savetodavne usluge, analiza","Feasibility study, advisory service, analysis"
38430000,Aparati za detekciju i analizu,Detection and analysis apparatus
72268000,Usluge nabavke softvera,Software supply services
64210000,Telefonske usluge i usluge prenosa podataka,Telephone and data transmission services
80500000,Usluge obuke,Training services
09331000,Solarne ploče,Solar panels
30192400,Reprografski materijal,Reprographic supplies
30200000,Računarska oprema i materijal,Computer equipment and supplies
45313100,Radovi na ugradnji liftova,Lift installation work
45112700,Radovi na uređivanju pejzaža,Landscaping work
45450000,Ostali završni građevinski radovi,Other building completion work
44163100,Cevi,Pipes
09133000,Tečni naftni gas (LPG),Liquefied Petroleum Gas (LPG)
34928470,Signalizacija,Signage
44167300,"Lukovi, T-spojevi i pribor za cevi","Bends, tees and pipe fittings"
64216200,Usluge elektronskih informacija,Electronic information services
14212120,Šljunak,Gravel
35100000,Sigurnosna oprema i oprema za vanredne situacije,Emergency and security equipment
03144000,Poljoprivredne potrepštine,Agricultural supplies
09110000,Čvrsta goriva,Solid fuels
45233123,Radovi na izgradnji sporednih puteva,Secondary road construction work
32320000,Televizijska i audiovizuelna oprema,Television and audio-visual equipment
79800000,Usluge štampanja i srodne usluge,Printing and related services
43300000,Građevinske mašine i oprema,Construction machinery and equipment
45261900,Radovi na popravci i održavanju krova,Roof repair and maintenance work
50530000,Usluge popravke i održavanja uređaja,Repair and maintenance services of machinery
30212100,Centralne  jedinice za mini-računare,Central processing units for minicomputers
85312100,Dnevne usluge u zajednici,Daycare services
90512000,Usluge prevoza otpada,Refuse transport services
09120000,Gasovita goriva,Gaseous fuels
42600000,Mašine alatke,Machine tools
33124130,Dijagnostički materijal,Diagnostic supplies
33695000,Svi ostali neterapeutski proizvodi,All other non-therapeutic products
79952100,Usluge organizovanja kulturnih dešavanja,Cultural event organisation services
39340000,Oprema za gasne mreže,Gas network equipment
45112200,Radovi na uklanjanju sloja zemlje,Soil-stripping work
24312122,Gvožđe hlorid,Ferric chloride
38540000,Mašine i aparati za ispitivanje i merenje,Machines and apparatus for testing and measuring
44621200,Kotlovi,Boilers
45232151,Radovi na obnovi vodovodne mreže,Water-main refurbishment construction work
32321200,Audiovizuelna oprema,Audio-visual equipment
30190000,Razna kancelarijska oprema i potrepštine,Various office equipment and supplies
45232410,Radovi na kanalizacionoj mreži,Sewerage work
45432100,Radovi na postavljanju podova i podnih obloga,Floor laying and covering work
45213315,Radovi na izgradnji natkrivenih autobuskih stajališta,Bus-stop shelter construction work
75251100,Usluge gašenja požara,Firefighting services
44113600,Bitumen i asfalt,Bitumen and asphalt
44111100,Cigle,Bricks
44113610,Bitumen,Bitumen
72610000,Usluge računarske podrške,Computer support services
42995000,Razne mašine za čišćenje,Miscellaneous cleaning machines
45236110,Radovi na površinskom sloju za sportske terene,Flatwork for sports fields
15860000,"Kafa, čaj i srodni proizvodi","Coffee, tea and related products"
50112300,Pranje automobila i slične usluge,Car-washing and similar services
92312130,Usluge muzičkih sastava,Band entertainment services
37400000,Sportska roba i oprema,Sports goods and equipment
34963000,Instrumentalni sistem za sletanje (ILS) ),Instrument Landing System (ILS)
50312300,Održavanje i popravka opreme mreže za prenos podataka,Maintenance and repair of data network equipment
32420000,Mrežna oprema,Network equipment
50514200,Usluge popravke i održavanja rezervoara,Repair and maintenance services of reservoirs
50221000,Usluge popravke i održavanja lokomotiva,Repair and maintenance services of locomotives
79320000,Usluge ispitivanja javnog mnjenja,Public-opinion polling services
79820000,Usluge u vezi sa štampanjem,Services related to printing
71300000,Tehničke usluge,Engineering services
44165100,Creva,Hoses
32442000,Oprema za terminale,Terminal equipment
48517000,Programski paket za informacione tehnologije,IT software package
24000000,Hemijski proizvodi,Chemical products
71243000,Izrada nacrta planova (sistemi i integracija),Draft plans (systems and integration)
30199330,Neprekidna hartija  za kompjuterske štampače,Continuous paper for computer printers
45261000,"Krovovezački, krovopokrivački i sa njima povezani radovi",Erection and related works of roof frames and coverings
90722300,Usluge rekultivacije zemljišta,Land reclamation services
30195000,Table,Boards
66514110,Usluge osiguranja motornih vozila,Motor vehicle insurance services
42113000,Delovi turbina,Parts of turbines
33141125,Materijal za hirurško šivenje,Material for surgical sutures
44110000,Građevinski materijali,Construction materials
45231300,Radovi na izgradnji cevovoda za vodu i kanalizaciju,Construction work for water and sewage pipelines
50532100,Usluge popravke i održavanja elektromotora,Repair and maintenance services of electric motors
34133100,Cisterne,Tankers
50610000,Usluge popravke i održavanja bezbednosne opreme,Repair and maintenance services of security equipment
33111710,Materijal za angiografiju,Angiography supplies
92312110,Usluge pozorišne produkcije,Theatrical producer entertainment services
44163000,Cevi i armatura,Pipes and fittings
39561141,Pletenice od raznih tkanina,Braids
09111000,Ugalj i goriva na bazi uglja,Coal and coal-based fuels
33141623,Kutije za prvu pomoć,First-aid boxes
42122130,Pumpe za vodu,Water pumps
65120000,Upravljanje postrojenjima za prečišćavanje vode,Operation of a water-purification plant
42913500,Filteri za dovod vazduha,Air-intake filters
79530000,Usluge prevođenja,Translation services
90721600,Usluge zaštite od zračenja,Radiation protection services
48732000,Programski paket za sigurnost podataka,Data security software package
77314000,Usluge održavanja terena,Grounds maintenance services
31527200,Spoljna rasveta,Exterior lights
79600000,Usluge zapošljavanja,Recruitment services
38410000,Instrumenti za merenje,Metering instruments
33698100,Mikrobiološke kulture,Microbiological cultures
15500000,Mlečni proizvodi,Dairy products
44613000,Veliki kontejneri,Large containers
64100000,Poštanske i kurirske usluge,Post and courier services
80000000,Usluge obrazovanja i stručnog osposobljavanja,Education and training services
34144511,Vozila za skupljanje otpada,Refuse-collection vehicles
39100000,Nameštaj,Furniture
31170000,Transformatori,Transformers
38421110,Merači protoka,Flowmeters
22113000,Knjige za biblioteke,Library books
60112000,Usluge javnog drumskog prevoza,Public road transport services
50531200,Usluge popravke i održavanja gasnih uređaja,Gas appliance maintenance services
72262000,Usluge izrade softvera,Software development services
42716120,Mašine za pranje,Washing machines
50225000,Usluge održavanja železničkih koloseka,Railway-track maintenance services
33130000,Zubarski  i sub-specijalistički instrumenti i aparati,Dental and subspecialty instruments and devices
38570000,Instrumenti i aparati za regulaciju i kontrolu,Regulating and controlling instruments and apparatus
66516100,Usluge osiguranja od odgovornosti za motorna vozila,Motor vehicle liability insurance services
50117300,Usluge remonta vozila,Reconditioning services of vehicles
24311000,"Hemijski elementi, neorganske kiseline i jedinjenja","Chemical elements, inorganic acids and compounds"
50413200,Usluge popravke i održavanja vatrogasne opreme,Repair and maintenance services of firefighting equipment
22450000,Štampani materijal sa zaštitom od falsifikovanja,Security-type printed matter
64200000,Telekomunikacione usluge,Telecommunications services
45112730,Radovi na pejzažnom uređivanju puteva i autoputeva,Landscaping work for roads and motorways
42400000,Oprema za dizanje i rukovanje teretom i delovi,Lifting and handling equipment and parts
45231100,Opšti radovi na izgradnji cevovoda,General construction work for pipelines
09211000,Ulja za podmazivanje i sredstva za podmazivanje,Lubricating oils and lubricating agents
72512000,Usluge vođenja dokumentacije,Document management services
66515200,Usluge osiguranja imovine,Property insurance services
34351100,Gume za automobile,Tyres for motor cars
44174000,Folija,Foil
34100000,Motorna vozila,Motor vehicles
42962000,Štamparska i grafička oprema,Printing and graphics equipment
30197630,Hartija za štampanje,Printing paper
34741000,Oprema za vazduhoplove,Aircraft equipment
71521000,Usluge nadzora na gradilištu,Construction-site supervision services
45333000,Radovi na instalaciji gasne opreme,Gas-fitting installation work
44615000,Posude pod pritiskom,Pressure vessels
45246000,Radovi na regulaciji reka i radovi na zaštiti od poplava,River regulation and flood control works
45111300,Radovi na demontaži,Dismantling works
44618310,Čepovi,Corks
15882000,Dijetetski proizvodi,Dietetic products
71600000,"Usluge tehničkog ispitivanja, analize i konsaltinga","Technical testing, analysis and consultancy services"
44192000,Drugi razni građevinski materijal,Other miscellaneous construction materials
33183300,Uređaji za osteosintezu,Osteosynthesis devices
45453000,Remontni i sanacioni radovi,Overhaul and refurbishment work
48931000,Programski paket za obuku,Training software package
63500000,Usluge putničkih agencija i tur-operatera i usluge pomoći turistima,"Travel agency, tour operator and tourist assistance services"
76100000,Profesionalne usluge u industriji gasa,Professional services for the gas industry
48000000,Programski paketi i informacioni sistemi,Software package and information systems
39715210,Oprema za centralno grejanje,Central-heating equipment
31527260,Sistemi rasvete,Lighting systems
90900000,Usluge čišćenja i sanitacije,Cleaning and sanitation services
31161000,Delovi elektromotora i generatora,Parts for electrical motors and generators
39715000,Bojleri za vodu i za grejanje zgrada; vodovodna instalacija,Water heaters and heating for buildings; plumbing equipment
73111000,Usluge istraživačkih laboratorija,Research laboratory services
39290000,Razna oprema,Miscellaneous furnishing
45251250,Radovi na izgradnji postrojenja za centralno grejanje,District-heating plant construction work
24312000,"Halogenidi metala; hipohloriti, hlorati i perhlorati","Metallic halogenates; hypochlorites, chlorates and perchlorates"
34711200,Bespilotne letelice,Non-piloted aircraft
50420000,Usluge popravke i održavanja medicinske i hirurške opreme,Repair and maintenance services of medical and surgical equipment
16800000,Delovi mašina za poljoprivredu i šumarstvo,Parts of agricultural and forestry machinery
44113620,Asfalt,Asphalt
44500000,"Alati, brave, ključevi, šarke, spojni elementi, lanci i opruge","Tools, locks, keys, hinges, fasteners, chain and springs"
45421000,Stolarski radovi i ugradnja stolarije,Joinery work
90500000,Usluge u vezi sa otpacima i otpadom,Refuse and waste related services
39531400,Podne obloge,Carpeting
32344280,Prenosivi radio uređaji,Portable radios
33150000,"Uređaji za radioterapiju, mehanoterapiju, elektroterapiju i fizikalnu terapiju","Radiotherapy, mechanotherapy, electrotherapy and physical therapy devices"
09111100,Ugalj,Coal
33192000,Medicinski nameštaj,Medical furniture
09111200,Goriva na bazi uglja,Coal-based fuels
37535200,Oprema za dečija igrališta,Playground equipment
31430000,Električni akumulatori,Electric accumulators
90610000,Usluge čišćenja i brisanja ulica,Street-cleaning and sweeping services
45223300,Radovi na izgradnji parkirališta,Parking lot construction work
79951000,Usluge organizovanja seminara,Seminar organisation services
34928471,Materijali za postavljanje oznaka,Sign materials
79952000,Organizovanje raznih dešavanja,Event services
24400000,Đubriva i azotna jedinjenja,Fertilisers and nitrogen compounds
71631430,Usluge ispitivanja curenja,Leak-testing services
42500000,Rashladni uređaji i oprema za ventilaciju,Cooling and ventilation equipment
24960000,Razni hemijski proizvodi,Various chemical products
44910000,Građevinski kamen,Stone for construction
35125300,Sigurnosne kamere,Security cameras
39512000,Posteljina,Bed linen
45232210,Izgradnja nadzemnih vodova,Overhead line construction
71520000,Usluge građevinskog nadzora,Construction supervision services
44000000,Građevinske konstrukcije i materijali; pomoćni proizvodi u građevinarstvu (izuzev električnih aparata),Construction structures and materials; auxiliary products to construction (except electric apparatus)
38520000,Skeneri,Scanners
85147000,Zdravstvene usluge u preduzećima,Company health services
71621000,Usluge tehničke analize ili konsaltinga,Technical analysis or consultancy services
85121200,Usluge lekara specijalista,Medical specialist services
48621000,Programski paket za operativni sistem centralnog računara,Mainframe operating system software package
45220000,Radovi na niskogradnji i radovi na visokogradnji,Engineering works and construction works
38700000,Uređaji za beleženje vremena i slični aparati; parking satovi,Time registers and the like; parking meters
45261215,Radovi na pokrivanju krova solarnim pločama,Solar panel roof-covering work
77310000,Usluge sadnje i održavanja zelenih površina,Planting and maintenance services of green areas
33000000,"Medicinska oprema, farmaceutski proizvodi i proizvodi za ličnu negu","Medical equipments, pharmaceuticals and personal care products"
14212400,Zemlja,Soil
34927100,So za posipanje puteva,Road salt
19000000,"Koža i tekstilne tkanine, plastični i gumeni materijali","Leather and textile fabrics, plastic and rubber materials"
24300000,Osnovne neorganske i organske hemikalije,Basic inorganic and organic chemicals
34115000,Ostali putnički automobili,Other passenger cars
33181500,Potrošni materijal za lečenje bubrežne insuficijencije,Renal consumables
09135000,Ulja za loženje,Fuel oils
33141000,"Medicinski nehemijski potrošni materijali i hematološki potrošni materijali, za jednokratnu upotrebu",Disposable non-chemical medical consumables and haematological consumables
98363000,Ronilačke usluge,Diving services
24111900,Kiseonik,Oxygen
32551200,Telefonske centrale,Telephone exchanges
24931250,Podloge za razvoj kultura,Culture medium
50312000,Održavanje i popravka računarske opreme,Maintenance and repair of computer equipment
42900000,Razni uređaji opšte i posebne namene,Miscellaneous general and special-purpose machinery
24111800,Tečni azot,Liquid nitrogen
50313200,Usluge održavanje fotokopir aparata,Photocopier maintenance services
55110000,Usluge hotelskog smeštaja,Hotel accommodation services
71248000,Nadzor projekata i dokumentacije (projektantski nadzor),Supervision of project and documentation
33700000,Proizvodi za ličnu negu,Personal care products
45311100,Radovi na postavljanju električnih instalacija,Electrical wiring work
31120000,Generatori,Generators
39717200,Uređaji za klimatizaciju,Air-conditioning appliances
