cpv_code,name,description
39832000,Proizvodi za pranje posuđa,Dishwashing products
42131140,"Redukcijski ventili, upravljački ventili, povratni ventili ili sigurnosni ventili","Pressure-reducing, control, check or safety valves"
79212500,Usluge računovodstvene revizije,Accounting review services
39711400,"Pekači, ringle, rešoi i primusi","Roasters, hobs, hotplates and boiling rings"
33651690,Vakcine za upotrebu u veterini,Vaccines for veterinary medicine
44316000,Gvožđarija,Ironmongery
03111900,Semenje cveća,Flower seeds
44451000,Blanko metalni novac,Coin blanks
63712000,Prateće usluge u drumskom prevozu,Support services for road transport
38432200,Hromatografi,Chromatographs
15893200,Mešavine za poslastice,Dessert mixes
35000000,"Sigurnosna, vatrogasna, policijska i odbrambena oprema","Security, fire-fighting, police and defence equipment"
45440000,Farbarski i staklarski radovi,Painting and glazing work
30231300,Ekrani,Display screens
31321200,Niskonaponski i srednjenaponski kablovi,Low- and medium-voltage cable
33651510,Antiserumi,Antisera
39235000,Žetoni,Tokens
32571000,Komunikaciona infrastruktura,Communications infrastructure
33141110,Pripremljeni zavoji,Dressings
45252127,Radovi na izgradnji postrojenja za preradu otpadnih voda,Wastewater treatment plant construction work
45211300,Radovi na izgradnji kuća,Houses construction work
45236100,Radovi na površinskom sloju za razne sportske objekte,Flatwork for miscellaneous sports installations
33696400,Izotopski reagensi,Isotopic reagents
24111300,Helijum,Helium
39516000,Proizvodi za unutrašnje opremanje,Furnishing articles
45110000,Rušenje i razbijanje zgrada; zemljani radovi,Building demolition and wrecking work and earthmoving work
75120000,Administrativne usluge agencija,Administrative services of agencies
42416100,Liftovi,Lifts
44167000,Različiti pribor za cevi,Various pipe fittings
42912000,Mašine i aparati za filtriranje ili prečišćavanje tečnosti,Liquid filtering or purifying machinery and apparatus
45214200,Radovi na izgradnji školskih zgrada,Construction work for school buildings
50113200,Usluge održavanja autobusa,Bus maintenance services
39224300,"Metle, četke i drugi proizvodi za čišćenje domaćinstva",Brooms and brushes and other articles for household cleaning
71314100,Usluge u oblasti električne energije,Electrical services
24951230,Punjenja za aparate za gašenje požara,Fire-extinguisher charges
44212520,Profili,Sections
44613400,Skladišni kontejneri,Storage containers
60410000,Usluge redovnog avio-prevoza,Scheduled air transport services
50112100,Usluge popravke automobila,Car repair services
31219000,Zaštitne kutije,Protection boxes
35261100,Signalne table sa smenjujućim porukama,Changing message indicator panels
38341300,Instrumenti za merenje električnih veličina,Instruments for measuring electrical quantities
45259900,Radovi na modernizaciji postrojenja,Plant upgrade work
34312000,Delovi za motore,Engine parts
85141000,Usluge medicinskog osoblja,Services provided by medical personnel
34731000,Delovi vazduhoplova,Parts for aircraft
34928450,Saobraćajni stubići,Bollards
14221000,Glina,Clay
72222200,Usluge planiranja informacionih sistema ili tehnologija,Information systems or technology planning services
30199100,"Indigo hartija, samokopirajuća hartija, matrice za umnožavanje od hartije i nekarbonizovana hartija","Carbon paper, self-copy paper, paper duplicator stencils and carbonless paper"
45112310,Radovi na nasipanju,Infill work
98000000,"Ostale javne, društvene i lične usluge","Other community, social and personal services"
45262210,Radovi na postavljanju temelja,Foundation work
37452910,Standardna oprema za odbojku u sportskoj sali,Volleyball gymnasium standards
55322000,Usluge kuvanja obroka,Meal-cooking services
42993100,Hlorinatori,Chlorinators
92100000,Filmske i video usluge,Motion picture and video services
45214800,Izgradnja objekata za osposobljavanje i obuku,Training facilities building
90711500,"Praćenje stanja životne sredine, osim u građevinarstvu",Environmental monitoring other than for construction
37520000,Igračke,Toys
15613000,Proizvodi od zrna žitarica,Cereal grain products
79980000,Pretplatničke usluge,Subscription services
09111220,Briketi,Briquettes
44600000,"Cisterne, rezervoari i kontejneri; radijatori za centralno grejanje i kotlovi","Tanks, reservoirs and containers; central-heating radiators and boilers"
45233223,Radovi na obnavljanju habajućeg površinskog sloja,Carriageway resurfacing works
72223000,Usluge revizije zahteva informacionih tehnologija,Information technology requirements review services
15321000,Voćni sokovi,Fruit juices
31681400,Električne komponente,Electrical components
90513100,Usluge odlaganja kućnog otpada,Household-refuse disposal services
72224000,Usluge savetovanja u oblasti vođenja projekata,Project management consultancy services
31321700,Signalni kablovi,Signalling cable
72100000,Savetodavne usluge u vezi sa hardverom,Hardware consultancy services
18222000,Poslovna odeća,Corporate clothing
37313500,Harfe,Harps
38911000,Kompleti za ručno uzimanje brisa,Manual swab test kits
